id;descricao;quem_id;talentoclasse_id;regiao_id;experiencia
1;Faço e ensino tricô;5;21;28;"Tricoto há mais de 30 anos
Vários pontos 
Diagramas e leitura"
2;"Oriento projetos e ensino disciplinas do ensino fundamental e médio. 
Ofereço aulas ou acompanhamento online via skype ou whatsapp.";17;8;36;Exerci docência por 20 em vários níveis de ensino, do fundamental a graduação em faculdades nas áreas de ciências humanas e naturais (biológicas).
3;Leio tarot dos anjos, ofereço consultas on line via whatsapp e presencial.;17;31;36;Consulto este tarot há 15 anos.
5;Sou bióloga,  identifico plantas, animais,  conheço a legislação ambiental,  conheço características e peculiaridades de diferentes ecossistemas,  dentre outros. ;17;40;36;"Trabalhei em zoológico e desenlvi tese sobre qualidade de vida e sustentabilidade em uma comunidade tradicional açoriana. 
Fui professora universitária por 10 anos."
6;Aplicação de Reiki;11;31;39;Fiz o curso de nível 1 com o professor Eduardo Takeuti. Tenho a permissão para aplicar o Reiki. 
7;Cuidados femininos no período menstrual, dicas sobre ginecologia natural e controle de fertilidade por observação do ciclo .;4;28;28;Pratico ginecologia natural e o método sintotermal ha 3 anos .
8;Ofereço consultoria no segmento de Arquitetura e Design de Interiores.;6;39;1;Sou arquiteta e professora do curso de Design de Interiores no Senac Florianópolis. 
9;Consultoria na área de Design de Interiores visando a organização e melhor aproveitamento do espaço.;6;6;3;Sou arquiteta e professora do curso de Design de Interiores Senac Florianópolis.
10;Faço comidinhas no geral e também dou cursos. Posso oferecer produtos ou apenas a mão de obra.;13;3;39;Sou chef de cozinha e tal
11;Aula de artes para crianças;8;32;26;Atuo como professora de artes visuais na educação infantil e ensino fundamental
12;"Consultoria em Alimentação Natural para Cachorros e Gatos.

Posso ajudar você a começar a alimentar seus pets com receitas balanceadas para a idade e tamanho deles.

Também posso fazer a alimentação seguindo a receita de sua preferência.";3;33;55;Alimento meu cachorro de forma natural há 5 anos e estudei muito sobre o assunto.
13;Gerente de Projetos;3;39;55;Trabalhei por 15 anos gerenciando projetos de tecnologia
14;Produção de chimichurri e salsa criolla.;792;4;21;Receita da família uruguaia, produzo há tempos!
15;"Aulas de cerâmica; Peças de cerâmica.";792;22;21;Trabalho com cerâmica há 3 anos e ministro aulas há 1 ano.
16;Aluguel de espaço para realização de oficinas de arte.;792;22;21;Montei meu atelier há 6 meses.
17;"Xilogravura; Aulas de xilogravura.";792;22;21;Faço xilogravura há uns anos.
18;Produção de mudas de chás, temperos, suculentas, plantas.;792;4;21;Faço em casa, sem muita pretenção.
19;"Pintura em aquarela
Disposição a aulas particulares e ilustrações.
Artesanato: pingentes com base em.moda alternativa e misticismo. Feitos de materiais reutilizados, pedras, cristais, pinturas e outros.
Estilização de peças para decoração como espelhos, molduras e outros.";3522;20;35;"Sobre pintura: pinto aquarela faz alguns anos e já ministrei aulas.
Artesanato: faço a mais de 6 anos correntemente e já fiz espaços temáticos."
20;"Eu tenho a cozinha como terapia. Acredito que a comida não alimenta apenas o corpo, mas também a alma. 
É pensando nisso que venho oferecer as minhas delícias, doce ou salgado, todas as preparações são feitas com AMOR SEM MEDIDA! <3";4066;4;42;Cozinho por gosto, sempre fiz minhas refeições em casa. Não tenho nenhum curso técnico, mas tenho disposição e vontade de aprender.
21;Ofereço serviços como PetSitter, cuidando do seu bichinho qnd vc não está!!;2345;33;26;Sou bióloga formada pela UFRJ, enfermeira veterinária, Pet Sitter e Dog Walker! Estou atuando nessa área há uns 2 anos!! Amo bichos mais que tudo nessa vida!!
22;Psicóloga clínica;774;29;3;Atendo individual, casal, grupos.  Infantil e adulto.  Desde 2013.
23;Eu produzo mandalas em lã, também conhecidas como olho de Deus. Ofereço por encomenda ou também quando tenho a pronta entrega anuncio no grupo.;1188;20;6;Já faz um bom tempo que faço mandalas, mas comecei a me aprofundar mais quando ofereci no BTF. Pretendo, em algum momento, oferecer aulas de produção de mandalas pelo banco.
25;"Manteiga Ghee; Brigadeiro de cacau sem lactose.";2483;4;38;Sou celiáca e intolerante a lactose, então produzo diariamente para consumo próprio comidinhas sem glúten e sem lactose.
26;Aulas de dança flamenca;2056;12;42;Professora de dança flamenca desde 2006, sou proprietária da única escola dedicada exclusivamente à arte flameca. Ao longo da carreira produzi inúmeros espetáculos e eventos relacionados ao flamenco.
27;"Reiki , limpeza energética,  cristaloterapia, meditação.,  1,5
 massagem relaxante anti stress, 2 hs";127;40;28;"Reiki nível II, atendo a 1 ano na asac pelo projeto reikianos
Massagem cursando ainda e o bt vai me proporcionar experiência"
28;Alimentação Vegana: Kombucha, maioneses/cremes, feijoada, chutney.;735;1;48;20 anos veg.
29;Faço cartaz,banner,convite, cartão de visita- on_line.;735;38;48;Já troquei alguns pelo BTF e faço uso da arte virtual para minhas atividades de escritora.
30;Organização de eventos - especialmente os que envolvem projetos sociais.;735;10;43;10 anos na área.
31;Professora de dança, instrutora licenciada de Zumba;671;13;24;Levar muita alegria a todos.
32;Trabalho com peças de bijouterie e artesanato em geral em macramé e crochet por encomenda.;3311;21;22;Tenho experiência com o macramé mais do que com o crochet. Trabalho com venta de bijouterie por encomenda mas posso fazer outro tipo de pedidos personalizados a combinar.
33;Atendimento psicológico clínico- psicóloga;4035;29;37;Atendimento clínico. Atendimento adulto. Possibilidade de trabalho com grupo terapêutico
34;"Faço bolos (nível de dificuldade baixo a médio); bolo-pudim; pães; pão de queijo.";3048;4;38;No grupo, já troquei muitas horas com pão. Bolo apenas uma vez.
35;"Terapias sonoras/Healing Sounds:
Canto pré-natal para gestantes; Roda feminina de canto com tambores xamânicos; Meditações sonoras com tigelas de cristal.";2288;30;26;Focalizadora de dinâmicas de voz em grupo há 20 anos. Terapeuta sonora. Professora de voz.
36;Bolos fofinhos sem lactose;1220;4;38;Tenho intolerância à lactose há 8 anos. Todo esse tempo desenvolvi receitas para não passar mal na rua, mas fiz cursos na área também. Há um ano divido essas receitas no meu negócio - Bolo da Roda. Semanalmente disponibilizo uma unidade de cada sabor do meu cardápio no Banco de tempo. Sempre que encontro espaço na minha agenda para bolos maiores também <3
37;Terapêuticas Tradicionais Chinesas , Exercicios Bioenergeticos. Aulas de terapêuticas corporais e promoção da saúde.;824;28;3;Tem sido.maravilhosa. lindos atendimentos . Sou grata ao BTF por conhecer pessoas boas.
38;Pintura acrílica realista Sob encomenda;467;20;55;Artista especializada em realismo, trabalho com a pintura acrílica a 10 anos.
39;"Artista: 
Disponibilizo uma pintura realista Sob encomenda por mês em tela ou camiseta.";467;20;55;Trabalho a 10 anos com pintura acrilica e me especializei em realismo.
40;Reiki e Barras de Access;3843;28;28;Reiki nível 2 e Practitioner de Barras de Access Consciousness
41;"Consultoria em marketing estratégico; consultoria em marketing digital; planejamento e execução de marketing para negocios; gestão de redes sociais; campanhas patrocinadas.";3115;38;56;Trabalho com marketing digital desde 2014 e recentemente finalizei a pós-graduação em Marketing Estratégico da Unisul.
42;Atendimento Clínico com Acupuntura e Naturologia. As sessões duram, em média, 50 minutos.;737;28;28;Sou Naturóloga formada pela UNISUL em 2011 e especialista em Acupuntura formada pelo CIEPH em 2016. São doze anos dedicados ao aprofundamento na arte de curar. As principais práticas com que atuo são: Acupuntura, Moxabustão, Aurículoterapia, Aromaterapia, Florais de Bach, Reflexoterapia, Cromopuntura, Massoterapia e Arteterapia. Tenho atendido pessoas que apresentam desequilíbrios crônicos, como parkinson, artrite, trombose, depressão, e pessoas que buscam melhorar a qualidade de vida, que chegam ao consultório apresentando queixas como cansaço, ansiedade, insegurança, dores, etc.
43;Consultoria em RH (Preparação e atualização de currículos, treinamentos de equipes, dinâmicas de grupo, orientações sobre DP, etc.).;12;40;28;"Graduada e pós-graduada em Gestão de RH; Consultora Líder em Gestão de Controle da Qualidade - ISO 9001 (Certificada) e Gestora de Projetos (FGV)."
44;"Marmitas veganas; doces e salgados em glúten e sem lactose. Produzo Kombucha artesanalmente.";3115;4;56;Cozinhar é uma paixão que tenho explorado há mais de 10 anos. Por ter uma série de intolerâncias, me especializei na produção de alimentos sem glúten e sem lactose.
45;Logo, artes para facebook e Instagram,;2563;35;43;Tenho uma empresa
46;Produtos cosméticos naturais e veganos resultantes de estudos científicos da biodiversidade brasileira.;2313;27;6;Sou pesquisadora de produtos florestais não madeireiros e resolvi empreender com cosméticos com ativos da floresta.
47;Fotógrafa de ensaios femininos,  casal e família.;2384;16;1;Como tive problemas com eventos, deixei de fazer, a pessoa nunca creditava. Ainda estão me devendo desde março. Agora, só mandarei as fotos quando a pessoa creditar as horas.
48;Professora de inglês para iniciantes, intermediários e avançado.  Estudantes em geral,negócios e tradutora simultânea.;2825;9;39;Minha Experiência esta sendo excelente. Faço terapia pelo Banco de tempo e está me agregando muito!
49;"Quer fomentar um evento, precisa de ideias?
Bora bolar um conceito e ações pra esse dia!
Faço produção também!";826;10;6;Produçao executiva/ captação/ criacao de conceito em eventos artisticos e sociais por aí!
50;Confecção de mini jardins e jardins em conserva.;750;7;22;Bióloga licenciada e bacharel e mestre pela Universidade Federal de Rio Grande e doutoranda na UFSC.
51;"Performances/ workshops/ microcenas/ direção de elenco... 
Atriz/ drt 35509/ Sp
Tenho especialização em humor/ expressao corporal, comunicação organica entre a fala e o gesto. Arte Educadora.";826;15;55;"Sou atriz/ drt 35509/ Sp
Tenho especialização em humor/ expressao corporal, comunicação organica entre a fala e o gesto!"
52;Projetos de educação ambiental para conservação dos riachos da ilha de Florianópolis.;750;39;22;"Bióloga (licenciada e bacharel) e mestre pela Universidade Federal de Rio Grande (FURG).
Doutoranda do programa de ecologia pela UFSC."
53;"- Pintura de Thangka (arte sagrada Budista). 
- Trabalhos Manuais: artesanato, costura básica.
- Life Coach e consultoria em projetos de vida.";2922;20;26;Realizei cursos com Tiffani Gyatso no Brasil e em Dharamsala/India para aperfeiçoamento da técnica artística de Thangka. Formada em Naturologia Aplicada. Formação em Coaching e Liderança pela Condor Blanco Internacional. Estudante de Budismo e Treinadora na Escola Bodhisattva Condor Blanco. Atualmente empresária na Golden Dream Travel, agência de viagens online.
54;- Life Coach e Consultoria em Projetos de Vida;2922;39;55;Formação em Coaching Express e Liderança Condor Blanco. Treinadora na escola de Liderança e de Bodhisattva Condor Blanco.
55;Organização geral de festas e eventos;5;10;55;Nao profissional
56;Orientação espiritual através do jogo de Búzios;2595;31;43;Iniciado na nação africana a 4 anos, filho de yemanja.
57;"Oficinas de Culinária para crianças (aulas semanais ou avulsas)
Oficinas para adultos divulgadas no grupo.";1038;1;28;Trabalho com culinária infantil desde 2008 em escolas e no meu espaço no Campeche.
58;Produção artesanal de bolos, granola, iogute, pães, docinhos, leite vegetal, Kombucha.;1038;4;28;8 anos de Experiência em cozinha escolar.
59;Cabelereira, costureira e artesã.;3947;26;22;"Tudo para cabelo
Criação de roupas e customização
Artes manuais"
